,1-10959,1-10960,1-4365,1-4029,MLG05,1-4780,1-0278,1-4562,1-4649,1-8592,1-1350,MLG16,1-4163,1-3295,1-1317,1-1258,1-2423,1-6098,1-4314,MLG02,1-2151,MLG06,1-0303,MLG17,MLG11,1-4319,1-5091,1-0334,1-2854,MLG07,MLG04,MLG29,1-7621,1-2382,1-1131,MLG03,1-5893,MLG10,1-0157,MLG19,MLG31,MLG30,1-1165,1-2545,1-5272,1-5960,1-4619,1-10615,1-10728,1-4542,MLG22,MLG32,MLG56,1-0053,1-2912,1-0292,MLG21,MLG52,1-1137,MLG24,MLG08,MLG13,MLG48,MLG09,MLG12,1-5344,MLG27,1-0094,MLG51,MLG42,1-12754,MLG26,1-1191,1-15913,1-6181,1-1224,1-5993,1-4399,1-3447,1-0129,MLG18,1-1833,1-16017,MLG15,1-5899,1-5184,1-11160,1-10616,1-5971,MLG75,1-15351,1-5900,1-0188,1-1307,MLG23,MLG58,1-1462,MLG59,1-10660,1-0272,MLG33,MLG36,MLG37,MLG39,MLG41,1-5022,1-5775,1-6079,1-1607,1-5811,MLG28,MLG34,MLG35,1-7866,MLG45,1-0296,MLG57,1-2701,1-2879,1-15424,1-4636,1-1204,1-7140,MLG40,MLG44,MLG43,MLG46,1-7863,1-6006,1-3103,MLG25,MLG62,1-5754,1-5972,1-6092,1-5151,1-8695,1-9234,1-5620,1-7987,1-5275,MLG54,1-6580,1-13160,1-9227,1-5214,1-4020,1-10492,1-4881,MLG14,1-6915,1-7024,1-1570,MLG50,1-5911,1-8067,MLG53,1-5953,1-5616,1-5757,1-3489,MLG49,1-7807,1-7176,MLG60,MLG69,MLG68,1-2294,1-4013,1-3033,10049,1-3523,1-7981,1-8086,1-10468,1-5626,MLG38,1-3929,1-3432,1-15114,1-7682,1-9256,MLG64,1-2974,1-2573,MLG79,1-5368,MLG20,1-0205,1-10301,1-15920,10026,MLG63,1-7004,1-2270,MLG78,1-2966,1-5283,1-13951,1-2922
1-3295,0,0,1,0,32,0,4,0,4,0,34,51,48,0,27,2,2,4,0,6,18,25,8,10,14,2,29,14,4,7,21,1,0,6,13,6,0,22,31,18,10,9,9,8,0,9,26,9,12,10,9,4,2,28,9,6,1,8,10,5,0,7,3,6,10,9,4,11,7,4,6,4,7,8,3,9,10,1,6,13,7,6,1,4,12,4,2,0,6,5,4,2,0,2,0,4,5,11,8,0,11,4,5,0,4,0,6,9,10,1,4,7,9,6,3,2,5,1,0,4,1,2,4,1,5,1,3,2,0,2,2,5,11,11,5,8,0,2,3,0,6,3,7,0,0,1,4,4,2,1,0,0,0,4,2,0,0,4,1,2,5,3,1,2,1,0,0,1,4,7,1,0,0,2,0,2,2,1,6,2,0,0,1,1,0,1,0,3,7,0,0,3,0,0,0,2,3,0,3,0
1-1317,0,0,0,0,17,0,0,0,15,0,6,6,45,27,0,9,0,6,0,3,15,9,6,8,3,24,8,5,2,1,3,1,2,3,5,3,4,0,4,5,0,2,6,1,0,9,4,0,0,5,4,1,3,3,3,0,0,2,3,18,0,1,0,2,0,11,0,6,7,6,5,1,0,3,9,0,11,0,3,0,3,0,0,3,3,15,0,0,17,5,2,1,0,0,1,0,2,1,0,0,1,4,1,14,0,3,0,2,3,4,0,0,2,0,1,0,1,0,0,5,0,2,2,0,2,0,0,0,0,0,4,0,5,2,2,9,0,0,0,0,0,3,0,0,10,0,5,0,3,0,10,1,0,1,0,0,1,0,0,1,0,0,0,1,3,1,9,0,2,0,1,5,2,0,0,0,4,7,0,0,0,7,1,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0
1-1258,0,0,0,1,18,2,1,3,4,0,12,14,25,2,9,0,2,8,0,0,5,38,4,26,76,2,22,4,1,35,5,35,0,4,4,4,1,26,14,21,19,1,0,5,21,17,14,24,1,7,23,23,28,14,3,21,23,24,9,3,3,12,18,7,13,2,6,0,18,1,1,7,19,3,3,11,0,10,13,9,9,15,1,7,0,0,37,0,0,17,4,0,0,6,5,4,0,7,36,12,0,1,1,0,1,0,2,6,5,0,1,3,3,0,1,9,7,2,0,2,1,1,3,4,3,4,9,0,7,12,2,12,9,4,0,0,1,14,1,0,4,6,12,0,7,1,1,5,1,3,15,0,0,8,0,2,5,2,3,1,2,9,0,0,2,0,1,5,0,2,0,4,7,0,3,0,2,5,4,2,3,0,6,0,0,10,0,6,0,2,0,11,0,22,0,9,2,1,2,0
1-2423,0,0,0,0,0,15,20,0,0,0,0,0,6,2,0,2,0,0,1,0,0,0,1,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,4,5,0,0,0,0,1,7,0,7,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6098,0,0,2,0,5,3,7,0,6,0,12,14,12,4,6,8,0,0,1,5,2,3,2,12,2,15,7,0,0,1,1,0,1,14,13,0,42,5,4,0,1,20,0,4,0,1,0,0,2,14,6,2,12,6,2,3,3,3,4,0,1,5,3,2,7,2,0,0,1,5,4,0,0,6,32,8,1,0,2,2,0,5,0,6,0,2,0,0,0,1,28,3,2,0,4,0,8,2,0,2,2,5,0,0,1,4,25,0,0,14,2,0,3,13,2,0,7,3,1,4,0,0,21,1,0,0,8,15,1,0,6,3,0,0,0,0,0,2,1,1,0,1,0,7,4,12,3,0,9,4,7,2,4,10,2,13,0,1,2,0,0,1,6,21,0,14,6,5,3,0,2,2,9,13,6,7,1,0,0,0,9,0,1,0,1,1,0,1,6,0,0,0,3,0,0,3,2,0,0,0
1-4314,0,0,5,0,0,14,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLG02,0,0,0,0,10,0,0,0,20,0,1,22,5,6,3,0,0,5,0,0,3,3,8,3,0,0,0,4,0,1,2,0,1,1,0,5,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,3,0,0,0,0,0,2,4,0,4,2,3,0,0,0,2,1,0,1,2,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
1-2151,0,0,0,0,8,0,1,0,9,0,2,16,35,18,15,5,0,2,0,3,0,25,49,2,1,8,2,15,3,5,6,4,4,0,1,4,0,8,2,2,2,0,1,2,2,5,1,0,2,0,0,1,7,0,0,0,2,2,0,0,4,3,3,4,1,2,3,4,2,0,1,1,4,3,0,1,1,0,2,3,2,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,1,0,2,0,0,0,0,0,0,9,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,8,0,4,0,1,0,4,4,2,0,1,0,0,3,0,0,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
MLG06,0,0,0,0,11,0,0,0,15,0,3,79,16,25,9,38,0,3,0,3,25,0,3,25,0,0,2,21,11,1,0,4,9,1,4,16,3,0,8,10,5,5,3,0,0,4,4,12,7,8,4,0,1,2,7,0,0,0,1,0,14,1,0,2,2,4,0,0,0,3,3,0,0,0,1,0,6,0,6,8,7,0,0,1,2,3,0,0,7,0,0,8,0,0,1,0,5,2,0,0,7,3,2,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,2,2,0,4,0,0,6,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,9,0,0,0,9,0,0,3,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0
1-0303,0,0,0,0,15,0,1,0,1,0,0,7,47,8,6,4,1,2,0,8,49,3,0,8,3,2,0,68,0,0,7,6,0,7,0,0,1,2,0,4,0,7,1,0,0,1,0,2,0,5,1,0,2,0,0,0,1,4,0,0,2,2,0,0,0,0,0,5,4,1,0,0,3,0,0,1,0,0,2,2,3,0,0,0,0,0,0,0,2,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,3,0,0,0,0,6,7,0,2,0,0,0,6,0,0,2,0,9,0,0,0,0,0,2,1,5,0,0,0,0,0,0,1,4,0,0,0,2,0,3,2,0,0,0,1,0,1,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
MLG17,0,0,0,0,18,0,0,0,0,0,9,11,36,10,8,26,4,12,0,3,2,25,8,0,9,2,0,20,6,4,30,0,89,58,56,1,20,2,0,5,6,5,15,16,0,2,4,2,2,11,4,0,32,2,4,4,1,1,4,12,0,1,0,0,0,8,1,2,1,3,1,0,1,2,0,2,0,1,1,1,1,0,0,4,1,0,10,0,1,0,0,3,6,10,5,0,2,0,0,0,0,0,0,0,2,6,0,0,2,0,0,0,2,0,0,2,0,9,12,6,0,8,0,0,0,0,1,0,1,9,1,0,5,1,0,1,1,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0,2,1,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,8,1,0
MLG11,0,0,0,0,0,0,0,0,1,0,6,4,16,14,3,76,8,2,0,0,1,0,3,9,0,0,4,5,0,3,0,9,2,0,7,14,0,27,0,3,43,0,0,17,16,7,8,22,10,6,2,21,1,2,1,13,0,0,9,0,0,0,0,0,7,2,3,0,0,5,1,2,6,1,1,0,1,20,1,5,0,1,0,1,0,1,0,11,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,1,3,2,4,0,0,1,0,0,0,8,3,0,0,1,2,8,1,0,0,0,0,0,2,2,3,1,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,4
1-4319,0,0,0,0,7,0,1,0,6,1,14,7,31,2,24,2,0,15,0,0,8,0,2,2,0,0,3,2,5,0,2,0,0,2,2,0,15,2,2,0,0,2,12,1,0,1,1,0,0,3,1,1,2,3,1,1,1,2,1,0,0,0,0,0,0,7,4,9,1,1,3,3,0,2,2,0,3,2,0,1,1,0,1,3,7,11,2,0,1,0,1,0,0,0,1,2,2,3,0,0,0,2,0,2,0,0,0,1,7,10,0,0,0,2,0,0,2,0,2,1,0,0,1,1,3,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,1,3,2,0,3,0,2,0,0,1,0,2,0,2,0,1,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,1,0,0,3,0
1-5091,0,0,1,0,1,3,0,1,3,0,2,2,26,29,8,22,0,7,0,0,2,2,0,0,4,3,0,1,2,0,0,0,0,0,0,0,0,2,5,5,0,0,3,0,0,0,9,0,1,1,0,0,0,13,0,1,1,1,10,2,0,0,0,1,1,0,6,2,1,4,2,3,0,5,0,7,0,0,3,1,1,7,0,0,5,5,0,6,0,0,1,2,0,5,0,5,0,1,0,0,0,1,0,0,0,1,0,6,8,3,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,3,0,0,1,1,0,1,0,2,0,2,0,0,3,0,2,2,0,0,0,2,1,2,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,4,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,2,0
1-0334,0,0,0,0,2,0,0,1,4,1,2,19,26,14,5,4,0,0,0,4,15,21,68,20,5,2,1,0,4,3,4,0,4,4,19,5,0,4,2,4,1,2,1,0,0,0,1,0,4,5,2,0,6,1,5,1,0,4,2,0,16,0,0,8,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,6,2,0,1,1,0,0,0,1,0,8,0,2,0,0,1,0,0,0,1,4,0,2,0,1,0,0,2,0,2,3,0,12,0,0,7,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
1-2854,0,0,0,0,20,0,0,0,0,0,4,47,5,4,2,1,0,0,0,0,3,11,0,6,0,5,2,4,0,5,3,6,4,0,2,5,0,5,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2,1,5,1,0,0,0,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
