original,anonymized
1-0001C,0
1-0053C,1
1-0129C,2
1-0205C,3
1-0272C,4
1-0278C,5
1-0292C,6
1-0296C,7
1-0303C,8
1-0358C,9
1-0405C,10
1-1131C,11
1-1165C,12
1-1177C,13
1-1191C,14
1-1204C,15
1-1224C,16
1-1250C,17
1-1258C,18
1-1317C,19
1-1350C,20
1-1462C,21
1-1482C,22
mlg71,23
1-1769C,24
1-1833C,25
1-2151C,26
1-2294C,27
1-2382C,28
1-2423C,29
1-2545C,30
1-2573C,31
1-2604C,32
1-2670C,33
1-2701C,34
1-2714C,35
1-3447C,36
1-3564C,37
1-4020C,38
1-4098C,39
1-4319C,40
1-4634C,41
1-4649C,42
1-4747C,43
1-4929C,44
1-4966C,45
1-5214C,46
1-5355C,47
1-5406Ca,48
1-5493C,49
1-5494C,50
mlg54,51
1-8269,52
1-5549C,53
1-5616C,54
1-5626C,55
1-5775C,56
mlg77,57
1-5877C,58
1-5888C,59
1-6006C,60
1-6035C,61
1-6061C,62
1-6098C,63
1-6139C,64
1-6181C,65
mlg56,66
1-6458C,67
1-6532C,68
1-6561C,69
1-6619C,70
1-6622C,71
1-6718C,72
1-6734C,73
1-6772C,74
1-6787C,75
1-6788C,76
1-6948C,77
1-7058C,78
1-7066C,79
1-7070C,80
1-7140C,81
1-7176C,82
1-7210C,83
1-7467C,84
1-7481C,85
1-7496C,86
1-7521C,87
1-7525C,88
1-7527C,89
1-7530C,90
1-7574C,91
1-7682C,92
1-7744C,93
1-9546,94
1-7770C,95
1-7790C,96
1-7807C,97
1-7833C,98
1-7839C,99
1-7842C,100
1-7845C,101
1-7863C,102
1-7866C,103
1-7964C,104
1-7995C,105
1-8018C,106
1-8023C,107
1-8041C,108
1-8042C,109
1-8066C,110
1-8067C,111
1-8068C,112
1-8084C,113
1-8093C,114
1-8095C,115
1-8098C,116
1-8100C,117
1-8113C,118
1-8124C,119
1-8127C,120
mlg74,121
1-8181C,122
1-8188C,123
1-8193C,124
1-8249C,125
1-8328C,126
1-8335C,127
1-8341C,128
1-8352C,129
1-8370C,130
1-8379C,131
1-8390C,132
1-8418C,133
1-8421C,134
1-8450C,135
1-8488C,136
1-8493C,137
1-8508C,138
1-8549C,139
1-8551C,140
1-8561C,141
1-8566C,142
1-8568C,143
1-8573C,144
1-8585C,145
1-8588C,146
1-8590C,147
1-8622C,148
1-8627C,149
1-8634C,150
1-8646C,151
1-8701C,152
1-8705C,153
1-8706C,154
1-8767C,155
1-8770C,156
1-8771C,157
1-8772C,158
1-8786C,159
1-8814C,160
1-8818C,161
1-8820C,162
1-8829C,163
1-8834C,164
1-8843C,165
1-8858C,166
1-8859C,167
1-8864C,168
1-8868C,169
1-8871C,170
1-8873C,171
1-8884C,172
1-8903C,173
1-8906C,174
1-8928C,175
1-8938C,176
1-8968C,177
1-8988C,178
1-9001C,179
mlg73,180
1-9009C,181
1-9013C,182
1-9026C,183
1-9028C,184
1-9035C,185
1-9041C,186
1-9081C,187
1-9099C,188
1-9109C,189
1-9111C,190
1-9115C,191
1-9118C,192
1-9132C,193
1-9136C,194
1-9137C,195
1-9146C,196
1-9156C,197
1-9185C,198
1-9187C,199
1-9189C,200
1-9195C,201
1-9204C,202
1-9237C,203
1-9252C,204
1-9253C,205
1-9270C,206
1-9277C,207
1-9283C,208
1-9286C,209
1-9288C,210
1-9291C,211
1-9319C,212
1-9331C,213
1-9333C,214
1-9338C,215
1-9345C,216
1-9349C,217
1-9356C,218
1-9357C,219
mlg47,220
1-9366C,221
1-9367C,222
1-9384C,223
7W2-0103C,224
1-1005,225
1-10074,226
1-10078,227
1-10129,228
1-1015,229
1-10152,230
1-10219,231
1-10249,232
1-10354,233
1-10394,234
1-10442,235
1-10445,236
1-10507,237
1-10542,238
1-10544,239
1-10574,240
1-10591,241
1-10616,242
1-1063,243
1-10667,244
1-10669,245
1-10767,246
1-10768,247
1-10769,248
1-10770,249
1-10771,250
1-10880,251
1-10962,252
1-10979,253
1-10981,254
