Exam Group,Exam Block
63,1
511,12
65,18
494,15
493,1
507,7
18,7
518,19
373,5
535,18
435,1
295,8
19,12
510,19
81,14
455,15
457,18
103,7
260,9
374,13
486,1
519,20
339,7
82,10
102,2
540,10
380,11
436,17
56,12
21,4
111,8
505,11
263,11
220,20
308,6
521,14
197,13
8,6
26,5
97,8
529,6
12,6
520,4
128,4
228,6
355,5
504,19
456,1
447,18
531,10
392,1
28,7
453,15
536,16
274,3
460,7
451,12
541,2
42,17
20,3
259,11
530,13
40,6
454,12
208,17
356,8
370,19
348,5
411,6
77,13
92,14
16,11
480,3
229,9
506,2
375,1
91,16
533,15
440,20
1,2
123,16
470,3
343,19
227,14
36,17
526,20
501,10
508,12
408,18
527,6
154,8
367,19
539,9
29,2
240,4
266,7
11,2
30,3
218,9
225,11
80,5
86,14
55,17
434,1
234,18
116,17
331,13
66,14
525,20
6,12
528,5
24,16
25,11
394,3
23,4
336,14
126,13
54,20
538,2
206,5
532,2
2,9
443,6
230,19
543,15
5,10
167,9
514,11
446,17
125,13
466,7
458,4
60,12
276,5
407,2
542,14
78,19
264,17
134,4
121,11
258,1
96,19
283,20
211,8
4,17
130,13
27,6
509,4
275,4
297,4
34,14
110,8
499,12
140,6
98,1
464,6
75,7
477,20
500,10
461,11
209,11
537,15
515,20
244,7
378,2
69,3
113,9
246,13
481,17
45,2
467,7
195,3
51,7
294,5
497,12
247,4
361,2
459,10
33,20
513,11
153,10
432,18
157,10
47,15
428,3
424,3
35,1
512,13
490,3
59,3
165,17
46,10
449,9
479,7
431,6
188,6
249,3
14,7
391,10
485,13
255,16
179,3
412,2
496,16
231,8
524,3
58,20
207,16
377,10
221,4
272,18
138,14
318,7
253,17
365,5
7,18
101,16
53,15
252,16
74,16
90,1
162,13
371,2
224,17
122,11
326,14
402,9
22,20
184,9
84,15
141,8
136,1
368,10
15,17
64,10
390,8
534,9
3,17
177,17
444,7
106,12
398,20
44,16
445,16
248,12
181,10
290,3
342,6
193,11
309,13
176,4
135,8
433,14
62,19
148,5
155,18
438,2
261,13
160,7
57,6
10,18
149,14
112,11
362,3
226,11
410,15
198,4
483,17
415,9
369,5
93,10
257,4
286,9
442,11
372,1
180,18
73,5
397,10
281,20
427,3
268,16
448,15
168,9
41,20
159,13
120,8
99,18
214,18
144,2
61,14
322,7
292,13
17,4
254,6
132,20
83,2
161,15
492,20
233,3
115,14
38,11
212,8
379,9
100,15
341,2
189,9
463,7
49,15
346,8
169,19
349,11
43,13
517,15
72,5
235,6
238,13
216,12
332,10
382,17
285,3
37,19
232,14
67,8
242,13
104,12
31,5
203,12
13,18
196,9
414,4
298,20
187,11
143,17
245,9
215,11
354,13
178,8
441,11
267,18
523,13
522,17
300,19
352,16
338,12
68,5
50,10
430,16
293,1
137,5
236,4
351,15
395,20
85,11
418,3
173,9
79,14
306,1
175,1
251,7
484,11
265,20
146,12
9,16
76,4
164,19
462,3
71,15
495,15
324,4
296,4
489,12
222,14
437,18
109,12
388,12
409,9
340,14
469,1
133,13
270,3
152,15
151,20
156,6
119,4
107,5
262,13
450,10
320,2
147,9
250,19
239,5
353,9
108,18
421,12
426,12
516,14
417,20
199,19
183,16
465,14
202,12
299,11
278,19
282,10
330,1
302,17
317,2
422,19
311,12
182,12
39,19
32,16
163,7
185,20
171,8
381,4
192,2
473,19
487,16
0,6
406,20
393,9
237,5
243,7
124,1
256,16
474,2
284,10
429,10
105,19
117,9
205,19
323,8
273,1
194,3
170,9
127,6
150,19
303,15
315,6
145,9
396,9
201,15
269,3
321,5
95,12
204,8
87,7
89,3
217,4
335,18
174,17
357,20
223,8
389,1
210,18
386,14
452,19
313,5
88,13
401,5
350,19
337,8
200,4
345,16
502,18
475,1
376,4
191,4
301,3
498,16
472,19
419,19
333,4
471,15
347,8
503,12
219,9
329,5
400,1
491,15
344,8
383,4
307,7
305,18
280,10
387,17
423,10
334,16
478,16
399,17
404,15
439,20
287,8
190,2
468,16
186,3
271,12
288,3
48,18
420,3
366,16
319,15
416,14
385,9
384,5
327,6
131,10
363,19
405,9
403,15
114,12
94,2
166,15
158,9
482,5
289,2
328,10
241,16
52,7
358,4
70,10
476,2
488,16
142,6
213,14
360,2
359,6
118,13
364,14
279,20
129,6
172,18
304,2
325,8
139,11
413,11
316,20
425,4
314,6
291,18
310,17
312,6
277,9
