original,anonymized
1-6098C,1
mlg26,2
1-6181C,3
mlg03,4
mlg65,5
1-18799,6
1-4041,7
1-1258C,8
mlg02,9
1-7981,10
mlg22,11
mlg33,12
1-1317C,13
mlg25,14
1-7140C,15
1-8995,16
1-8974,17
7W2-11889,18
1-4052,19
1-7866C,20
1-4126,21
1-1462C,22
1-8038,23
mlg47,24
1-2410,25
1-8067C,26
mlg34,27
1-1605,28
mlg36,29
mlg75,30
1-7176C,31
mlg49,32
1-19443,33
1-7863C,34
1-9156C,35
1-5775C,36
mlg51,37
1-8939,38
1-0303C,39
mlg19,40
1-1165C,41
1-4975,42
1-9099,43
1-3638,44
1-7807C,45
1-1637,46
1-2151C,47
1-8341C,48
mlg35,49
1-2382C,50
mlg76,51
1-1595,52
mlg66,53
1-8836,54
1-5829,55
1-1350C,56
mlg18,57
1-4034,58
1-4649C,59
mlg53,60
1-17711,61
1-10129,62
mlg50,63
1-9283C,64
1-8990,65
1-8914,66
1-8188C,67
1-1224C,68
1-6948C,69
1-8945,70
1-7682C,71
1-4319C,72
1-3640,73
1-8313,74
1-2423C,75
1-3564,76
1-4053,77
1-7574C,78
1-8098C,79
1-1015,80
mlg20,81
1-3447C,82
1-3880,83
mlg45,84
1-5694,85
1-0053C,86
1-10078,87
mlg48,88
1-2522,89
mlg13,90
1-2545C,91
1-9753,92
1-10574,93
mlg52,94
1-9518,95
1-17759,96
mlg23,97
1-8706C,98
1-10394,99
1-1131C,100
1-1833C,101
1-8420,102
1-2113,103
1-9356C,104
1-16979,105
mlg46,106
mlg71,107
1-7496C,108
1-0292C,109
1-1005,110
mlg44,111
1-5626C,112
1-7972,113
mlg56,114
1-5099,115
1-18898,116
1-1404,117
mlg70,118
1-9270C,119
mlg29,120
1-9274,121
1-7070C,122
1-17762,123
1-8859C,124
1-0278C,125
1-5616C,126
1-0129C,127
1-2245,128
1-6006C,129
1-8328C,130
1-16909,131
1-1769C,132
1-0272C,133
1-18245,134
1-8810,135
1-5653,136
1-8249C,137
1-7058C,138
mlg78,139
1-18780,140
